Country,State,City,Station_name,Timestamp(UTC),PM2.5,US_AQI,Main pollutant,r1,r2,r3,r4,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-04-30 00:00:00,,1,SO2,,2.69,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-01-15 00:00:00,,1,SO2,,2.52,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-11-27 00:00:00,5.33,22,PM2.5,,0.59,,,54.08
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-06-26 00:00:00,10.63,44,PM2.5,,,,,77.83
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-11-05 00:00:00,,3,Ozone,,0.79,,,8.67
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-07-24 00:00:00,,2,SO2,,3.18,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-10-27 00:00:00,,10,Ozone,,0.08,,,25.6
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-03-04 00:00:00,12.11,51,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-04-11 00:00:00,5.78,24,PM2.5,,,,,33.98
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-04-24 00:00:00,14.12,55,PM2.5,,,,,65.08
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-10-14 00:00:00,8.58,35,PM2.5,,,,,18.76
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-12-21 00:00:00,29.64,88,PM2.5,,,,,3.79
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-07-19 00:00:00,27.55,83,PM2.5,,,,,52.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-12-07 00:00:00,6.14,25,PM2.5,,,,,53.75
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-09-29 00:00:00,10.68,44,PM2.5,,,,,23.25
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-01-21 00:00:00,9.48,39,PM2.5,,,,,24.02
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-05-02 00:00:00,10.85,45,PM2.5,,,,,32.41
USA,Pennsylvania,Pittsburgh,,2021-11-04 00:00:00,10.38,43,PM2.5,,1.48,,31.26,2.43
USA,Pennsylvania,Pittsburgh,,2021-12-30 00:00:00,17.72,63,PM2.5,,0.65,,29.2,22.27
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-04-15 00:00:00,5.74,24,PM2.5,,,,,36.54
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-05-14 00:00:00,6.39,26,PM2.5,,,,,30.25
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-08-05 00:00:00,16.79,61,PM2.5,,,,,30.5
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-09-09 00:00:00,9.72,40,PM2.5,,,,,22.71
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-04-09 00:00:00,7.16,30,PM2.5,,,,,36.73
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-06-18 00:00:00,4.42,18,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-01-16 00:00:00,10.77,45,PM2.5,,,,,22.2
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-03-19 00:00:00,3.98,27,Ozone,,,,,68.33
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-07-18 00:00:00,10.92,45,PM2.5,,,,,63.25
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-06-22 00:00:00,11.88,49,PM2.5,,,,,21.17
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-10-10 00:00:00,7.26,30,PM2.5,,,,,14.96
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-08-02 00:00:00,16.28,60,PM2.5,,,,,52.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-09-21 00:00:00,20.79,69,PM2.5,,,,,50.33
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-03-23 00:00:00,7.17,30,PM2.5,,,,,49.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-08-13 00:00:00,9.26,38,PM2.5,,,,,34.92
USA,Pennsylvania,Pittsburgh,Lawrenceville,2016-03-12 00:00:00,9.56,40,PM2.5,,,,,36.22
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-09-29 00:00:00,5.71,24,PM2.5,,,,,49.08
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-02-03 00:00:00,9.46,39,PM2.5,,,,,45.67
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-12-31 00:00:00,13.26,53,PM2.5,,,,,40.17
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-04-30 00:00:00,7.75,32,PM2.5,11.08,,,,59.17
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-09-09 00:00:00,8.97,37,PM2.5,,0.18,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-01-30 00:00:00,,4,CO,,4.34,392.72,,2.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-05-20 00:00:00,,1,SO2,,1.79,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-06-27 00:00:00,6.39,26,PM2.5,,0.72,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-02-03 00:00:00,,12,Ozone,,1.04,356.37,,30.82
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-07-23 00:00:00,,1,SO2,,1.69,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-02-09 00:00:00,,23,Ozone,,2.13,,,58.1
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-07-21 00:00:00,33.54,96,PM2.5,,,,,74.75
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-01-18 00:00:00,16.05,59,PM2.5,,,,,6.46
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-11-06 00:00:00,6.75,28,PM2.5,,,,,38.83
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-08-01 00:00:00,12.87,53,PM2.5,,2.71,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-01-13 00:00:00,8.94,37,PM2.5,,,,,8.03
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-04-25 00:00:00,11.23,46,PM2.5,,,,,67.92
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-03-04 00:00:00,11.8,49,PM2.5,,,,,37.38
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-06-17 00:00:00,8.4,35,PM2.5,,,,,31.58
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-07-25 00:00:00,,1,SO2,,1.58,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-03-26 00:00:00,,1,SO2,,1.2,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-06-05 00:00:00,,1,SO2,,1.13,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-12-20 00:00:00,21.54,71,PM2.5,,,,,4.55
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-05-02 00:00:00,5.32,38,Ozone,,,,,94.67
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-09-19 00:00:00,11.49,47,PM2.5,,3.51,175.61,,
USA,Pennsylvania,Pittsburgh,,2022-01-31 00:00:00,27.9,84,PM2.5,,3.62,487.11,,25.88
USA,Pennsylvania,Pittsburgh,,2018-11-28 00:00:00,8.13,34,PM2.5,,,,,43.13
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-07-02 00:00:00,12.27,51,PM2.5,,,,,38.33
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-10-03 00:00:00,16.11,59,PM2.5,,,,,28.42
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-10-20 00:00:00,9.04,37,PM2.5,,,,,13.36
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-10-22 00:00:00,11.88,49,PM2.5,,,,,25.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-04-16 00:00:00,6.53,27,PM2.5,,,,,40.5
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-05-28 00:00:00,14.61,56,PM2.5,,,,,30.58
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-08-22 00:00:00,11.03,46,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-01-24 00:00:00,17.7,63,PM2.5,,,,,6.39
